,symbol,desc,dt,attchmntFile,sm_name,sm_isin,an_dt,sort_date,seq_id,smIndustry,orgid,attchmntText,bflag,old_new,csvName,exchdisstime,difference,t_date,open,adj_close,intraday_return
49,IBULHSGFIN,Record Date,28012024153054,https://nsearchives.nseindia.com/corporate/IBULHSGFIN_28012024153054_IBH_Exchange_Intimation_28Jan2024.pdf,Indiabulls Housing Finance Limited,INE148I01020,2024-01-28 15:30:54,2024-01-28 15:30:54,,,,Indiabulls Housing Finance Limited has informed the Exchange that Record date for the purpose of Rights  is 01-Feb-2024.,,,,28-Jan-2024 15:30:58,00:00:04,2024-01-29 15:30:54,177.83,177.65,-0.10122026654670574
50,IBULHSGFIN,Record Date,28012024153054,https://nsearchives.nseindia.com/corporate/IBULHSGFIN_28012024153054_IBH_Exchange_Intimation_28Jan2024.pdf,Indiabulls Housing Finance Limited,INE148I01020,2024-01-28 15:30:54,2024-01-28 15:30:54,,,,Indiabulls Housing Finance Limited has informed the Exchange that Record date for the purpose of Rights  is 01-Feb-2024.,,,,28-Jan-2024 15:30:58,00:00:04,2024-01-29 15:30:54,177.83,177.65,-0.10122026654670574
52,SHRIRAMFIN,Record Date,25012024212738,https://nsearchives.nseindia.com/corporate/SHRIRAMFIN_25012024212739_Record_date_25012024.pdf,Shriram Finance Limited,INE721A01013,2024-01-25 21:27:38,2024-01-25 21:27:38,,,,Shriram Finance Limited has informed the Exchange that Record date for the purpose of Dividend  is 06-Feb-2024.,,,,25-Jan-2024 21:27:45,00:00:07,2024-01-26 21:27:38,2432.0,2398.78,-1.3659539473684128
53,PGHL,Record Date,25012024182752,https://nsearchives.nseindia.com/corporate/PGHL_25012024182752_PGHLrecorddateFeb6.pdf,Procter & Gamble Health Limited,INE199A01012,2024-01-25 18:27:52,2024-01-25 18:27:52,,,,"Further to our communication dated January 12, 2024, we would like to inform you that the record date for payment of the Interim dividend, if declared at the Board meeting to be held on Tuesday, February 6, 2024, would be Wednesday, February 14, 2024.",,,,25-Jan-2024 18:27:59,00:00:07,2024-01-26 18:27:52,5301.95,5174.9,-2.3962881581305027
54,AJANTPHARM,Record Date,25012024175301,https://nsearchives.nseindia.com/corporate/AJANTPHARM_25012024175302_IntimationofBMforconsideringdividendandrecorddate.pdf,Ajanta Pharma Limited,INE031B01015,2024-01-25 17:53:01,2024-01-25 17:53:01,,Pharmaceuticals,,Ajanta Pharma Limited has informed the Exchange that Record date for the purpose of Dividend  is 08-Feb-2024.,,,,25-Jan-2024 17:53:45,00:00:44,2024-01-26 17:53:01,2185.05,2152.32,-1.4979062264021425
55,CHOLAFIN,Record Date,25012024160544,https://nsearchives.nseindia.com/corporate/CHOLAFIN_25012024160544_Outcome_Board_Letter_Jan2024_Compressed.pdf,Cholamandalam Investment and Finance Company Limited,INE121A01016,2024-01-25 16:05:44,2024-01-25 16:05:44,,Finance,,Cholamandalam Investment and Finance Company Limited has informed the Exchange that Record date for the purpose of DI  is 07-Feb-2024.,,,,25-Jan-2024 16:05:51,00:00:07,2024-01-26 16:05:44,1270.0,1229.42,-3.195275590551175
56,GREENPANEL,Record Date,25012024153757,https://nsearchives.nseindia.com/corporate/GREENPANEL_25012024153757_BMINTIMATION31012024.pdf,Greenpanel Industries Limited,INE08ZM01014,2024-01-25 15:37:57,2024-01-25 15:37:57,,,,Greenpanel Industries Limited has informed the Exchange that Record date for the purpose of Dividend  is 01-Feb-2024.,,,,25-Jan-2024 15:38:04,00:00:07,2024-01-26 15:37:57,402.95,397.7,-1.3028911775654548
59,TATAMETALI,Record Date,24012024194432,https://nsearchives.nseindia.com/corporate/TATAMETALI_24012024194432_TMLReg42andReg30.pdf,Tata Metaliks Limited,INE056C01010,2024-01-24 19:44:32,2024-01-24 19:44:32,,Steel And Steel Products,,Tata Metaliks Limited has informed the Exchange that Record date for the purpose of In the matter of the Scheme of Amalgamation amongst Tata Metaliks Limited and Tata Steel Limited  is 06-Feb-2024.,,,,24-Jan-2024 19:44:38,00:00:06,2024-01-25 19:44:32,1067.7,1047.55,-1.8872342418282373
60,INDOTHAI,Record Date,24012024190257,https://nsearchives.nseindia.com/corporate/INDOTHAI_24012024190257_Intimationofrecorddate02022024.pdf,Indo Thai Securities Limited,INE337M01013,2024-01-24 19:02:57,2024-01-24 19:02:57,,Finance,,Indo Thai Securities Limited has informed the Exchange that Record date for the purpose of Interim Dividend  is 09-Feb-2024.,,,,24-Jan-2024 19:03:01,00:00:04,2024-01-25 19:02:57,304.4,297.15,-2.3817345597897503
61,BOSCHLTD,Record Date,24012024182611,https://nsearchives.nseindia.com/corporate/BOSCHLTD_24012024182612_RecorddateIntimationInterimDividend2024.pdf,Bosch Limited,INE323A01026,2024-01-24 18:26:11,2024-01-24 18:26:11,,Auto Ancillaries,,Bosch Limited has informed the Exchange that Record date for the purpose of Dividend  is 23-Feb-2024.,,,,24-Jan-2024 18:26:19,00:00:08,2024-01-25 18:26:11,22508.8,22779.3,1.201752203582599
62,VIPIND,Record Date,24012024180526,https://nsearchives.nseindia.com/corporate/VIPIND_24012024180526_SEIntimationRecorddate.pdf,VIP Industries Limited,INE054A01019,2024-01-24 18:05:26,2024-01-24 18:05:26,,Plastic And Plastic Products,,VIP Industries Limited has informed the Exchange that Record date for the purpose of Dividend  is 07-Feb-2024.,,,,24-Jan-2024 18:05:34,00:00:08,2024-01-25 18:05:26,559.5,552.97,-1.1671134941912373
63,ENGINERSIN,Record Date,24012024180122,https://nsearchives.nseindia.com/corporate/ENGINERSIN_24012024180122_boardmeetingintimation24012024.pdf,Engineers India Limited,INE510A01010,2024-01-24 18:01:22,2024-01-24 18:01:22,,Engineering,,Engineers India Limited has informed the Exchange that Record date for the purpose of Dividend  is 12-Feb-2024.,,,,24-Jan-2024 18:01:28,00:00:06,2024-01-25 18:01:22,235.0,232.55,-1.0425531914893569
64,MOIL,Record Date,24012024174935,https://nsearchives.nseindia.com/corporate/MOIL_24012024174935_Intimation_Record_Date.pdf,MOIL Limited,INE490G01020,2024-01-24 17:49:35,2024-01-24 17:49:35,,Metals,,"The Record date subject to declaration of dividend in the Board Meeting to be held on Friday, 02nd February, 2024 for the purpose of Interim Dividend  is 10-Feb-2024.",,,,24-Jan-2024 17:49:40,00:00:05,2024-01-25 17:49:35,327.45,340.95,4.122766834631242
65,CONCOR,Record Date,24012024174858,https://nsearchives.nseindia.com/corporate/CONCOR_24012024174858_CONCOR_SE_Results_24012024.pdf,Container Corporation of India Limited,INE111A01017,2024-01-24 17:48:58,2024-01-24 17:48:58,,Travel And Transport,,Container Corporation Of India Limited has informed the Exchange that Record date for the purpose of Dividend  is 07-Feb-2024.,,,,24-Jan-2024 17:49:03,00:00:05,2024-01-25 17:48:58,844.0,825.11,-2.238151658767771
66,AARTIDRUGS,Record Date,24012024161417,https://nsearchives.nseindia.com/corporate/AARTIDRUGS_24012024161417_ADL_DIV.pdf,Aarti Drugs Limited,INE767A01016,2024-01-24 16:14:17,2024-01-24 16:14:17,,Pharmaceuticals,,Aarti Drugs Limited has informed the Exchange that Record date for the purpose of Dividend  is 06-Feb-2024.,,,,24-Jan-2024 16:14:22,00:00:05,2024-01-25 16:14:17,520.0,503.58,-3.1576923076923107
69,TANLA,Record Date,23012024181213,https://nsearchives.nseindia.com/corporate/TANLA_23012024181213_SE_Record_Date_Interim_Divi_FY24.pdf,Tanla Platforms Limited,INE483C01032,2024-01-23 18:12:13,2024-01-23 18:12:13,,Computers - Software,,Tanla Platforms Limited has informed the Exchange that Record date for the purpose of Interim Dividend  is 05-Feb-2024.,,,,23-Jan-2024 18:12:20,00:00:07,2024-01-24 18:12:13,1101.0,1043.2,-5.249772933696636
70,MGL,Record Date,23012024174343,https://nsearchives.nseindia.com/corporate/MGL_23012024174343_BMOutcome23012024.pdf,Mahanagar Gas Limited,INE002S01010,2024-01-23 17:43:43,2024-01-23 17:43:43,,,,Mahanagar Gas Limited has informed the Exchange that Record date for the purpose of Dividend  is 05-Feb-2024.,,,,23-Jan-2024 17:43:47,00:00:04,2024-01-24 17:43:43,1336.2,1334.92,-0.09579404280796083
71,STYRENIX,Record Date,23012024171608,https://nsearchives.nseindia.com/corporate/STYRENIX_23012024171608_BMintimation03Feb2024.pdf,Styrenix Performance Materials Limited,INE189B01011,2024-01-23 17:16:08,2024-01-23 17:16:08,,,,"We wish to inform you that a meeting of Board of Directors of the Company is being convened on Saturday, February 3, 2024, to consider the proposal of declaration of interim dividend. Further, the record date for the purpose of determining the members eligible to receive the dividend, if declared, by the Board of Directors, is proposed to be fixed as Monday, February 12, 2024.",,,,23-Jan-2024 17:16:13,00:00:05,2024-01-24 17:16:08,1499.95,1508.65,0.5800193339778023
72,SONACOMS,Record Date,23012024154803,https://nsearchives.nseindia.com/corporate/SONACOMS_23012024154803_outcome.pdf,Sona BLW Precision Forgings Limited,INE073K01018,2024-01-23 15:48:03,2024-01-23 15:48:03,,,,Sona Blw Precision Forgings Limited has informed the Exchange that Record date for the purpose of Dividend  is 05-Feb-2024.,,,,23-Jan-2024 15:48:08,00:00:05,2024-01-24 15:48:03,599.0,584.28,-2.4574290484140278
73,TCI,Record Date,23012024154457,https://nsearchives.nseindia.com/corporate/TCI_23012024154457_DividendnoticetoStockExchange.pdf,Transport Corporation of India Limited,INE688A01022,2024-01-23 15:44:57,2024-01-23 15:44:57,,Travel And Transport,,Transport Corporation of India Limited has informed the Exchange that Record date for the purpose of Dividend  is 10-Feb-2024.,,,,23-Jan-2024 15:45:04,00:00:07,2024-01-24 15:44:57,840.0,861.9,2.6071428571428545
74,ROUTE,Record Date,23012024154311,https://nsearchives.nseindia.com/corporate/ROUTE_23012024154311_Outcome.pdf,ROUTE MOBILE LIMITED,INE450U01017,2024-01-23 15:43:11,2024-01-23 15:43:11,,,,ROUTE MOBILE LIMITED has informed the Exchange that Record date for the purpose of Dividend  is 01-Feb-2024.,,,,23-Jan-2024 15:43:16,00:00:05,2024-01-24 15:43:11,1601.05,1562.35,-2.417163736298057
78,CONTROLPR,Record Date,22012024182631,https://nsearchives.nseindia.com/corporate/CONTROLPR_22012024182631_outcomeintimationsigned.pdf,Control Print Limited,INE663B01015,2024-01-22 18:26:31,2024-01-22 18:26:31,,,,Control Print Limited has informed the Exchange that Record date for the purpose of Dividend  is 02-Feb-2024.,,,,22-Jan-2024 18:26:36,00:00:05,2024-01-23 18:26:31,1020.0,962.33,-5.653921568627448
79,MRPL,Record Date,22012024174855,https://nsearchives.nseindia.com/corporate/MRPL_22012024174855_DIVIDENDRECORDDATE.pdf,Mangalore Refinery and Petrochemicals Limited,INE103A01014,2024-01-22 17:48:55,2024-01-22 17:48:55,,Refineries,,Mangalore Refinery and Petrochemicals Limited has informed the Exchange that Record date for the purpose of Dividend  is 02-Feb-2024.,,,,22-Jan-2024 17:49:06,00:00:11,2024-01-23 17:48:55,169.8,169.94,0.08244994110717688
80,OBEROIRLTY,Record Date,22012024173246,https://nsearchives.nseindia.com/corporate/OBEROIRLTY_22012024173246_Outcome_Dividend_signed.pdf,Oberoi Realty Limited,INE093I01010,2024-01-22 17:32:46,2024-01-22 17:32:46,,Construction,,Oberoi Realty Limited has informed the Exchange that Record date for the purpose of second interim dividend  is 02-Feb-2024.,,,,22-Jan-2024 17:32:52,00:00:06,2024-01-23 17:32:46,1445.0,1367.65,-5.352941176470582
81,SHRIRAMFIN,Record Date,22012024173210,https://nsearchives.nseindia.com/corporate/SHRIRAMFIN_22012024173210_IntimationBM25Jan24DIV.pdf,Shriram Finance Limited,INE721A01013,2024-01-22 17:32:10,2024-01-22 17:32:10,,,,Shriram Finance Limited has informed the Exchange that Record date for the purpose of Dividend  is 06-Feb-2024.,,,,22-Jan-2024 17:32:15,00:00:05,2024-01-23 17:32:10,2287.05,2269.83,-0.752935003607278
82,SANDUMA,Record Date,22012024171743,https://nsearchives.nseindia.com/corporate/SANDUMA_22012024171743_Ltr2SEsRecorddate.pdf,Sandur Manganese & Iron Ores Limited,INE149K01016,2024-01-22 17:17:43,2024-01-22 17:17:43,,,,Sandur Manganese & Iron Ores Limited has informed the Exchange that Record date for the purpose of Bonus Issue is 02-Feb-2024.,,,,22-Jan-2024 17:17:48,00:00:05,2024-01-23 17:17:43,543.0,513.98,-5.344383057090236
83,SRF,Record Date,22012024160842,https://nsearchives.nseindia.com/corporate/SRF_22012024160842_IntimationBM.pdf,SRF Limited,INE647A01010,2024-01-22 16:08:42,2024-01-22 16:08:42,,Textiles - Synthetic,,SRF Limited has informed the Exchange that Record date for the purpose of Dividend  is 07-Feb-2024.,,,,22-Jan-2024 16:08:47,00:00:05,2024-01-23 16:08:42,2294.95,2250.5,-1.9368613695287402
84,COFORGE,Record Date,22012024155236,https://nsearchives.nseindia.com/corporate/COFORGE_22012024155236_Dividend_Intimation.pdf,Coforge Limited,INE591G01017,2024-01-22 15:52:36,2024-01-22 15:52:36,,,,Coforge Limited has informed the Exchange that Record date for the purpose of Dividend  is 05-Feb-2024.,,,,22-Jan-2024 15:52:43,00:00:07,2024-01-23 15:52:36,6398.0,6183.26,-3.356361362925911
86,KKCL,Record Date,20012024183025,https://nsearchives.nseindia.com/corporate/KKCL_20012024183025_recorddate.pdf,Kewal Kiran Clothing Limited,INE401H01017,2024-01-20 18:30:25,2024-01-20 18:30:25,,Textile Products,,Kewal Kiran Clothing Limited has informed the Exchange that Record date for the purpose of Dividend  is 02-Feb-2024.,,,,20-Jan-2024 18:30:32,00:00:07,2024-01-21 18:30:25,763.9,761.91,-0.2605053017410668
87,GILLETTE,Record Date,19012024230119,https://nsearchives.nseindia.com/corporate/GILLETTE_19012024230119_GILBMintimationOND2023recorddate.pdf,Gillette India Limited,INE322A01010,2024-01-19 23:01:19,2024-01-19 23:01:19,,Personal Care,,Gillette India Limited has informed the Exchange that Record date for the purpose of DI  is 08-Feb-2024.,,,,19-Jan-2024 23:01:25,00:00:06,2024-01-20 23:01:19,6632.85,6485.0,-2.229056891080009
